INFO:root:321-Hirundo_rustica 562896.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 52059.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 224258.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 106966.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 448457.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 571913.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 106183.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 253349.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 190566.mp3 is too short, ignored.
INFO:root:321-Hirundo_rustica 571915.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 247333.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 554782.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 368892.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 555351.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 214855.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 550288.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 556843.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 556847.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 82566.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 547072.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 537300.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 553614.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 568635.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 544375.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 542647.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 243599.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 413050.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 530798.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 180540.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 548294.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 553613.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 89851.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 547073.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 385522.mp3 is too short, ignored.
INFO:root:207-Sylvia_communis 554063.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 473118.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 269285.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 129475.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 133831.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 235421.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 570914.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 373332.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 375713.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 240508.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 308585.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 375692.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 314280.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 373551.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 373315.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 107993.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 83177.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 378827.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 484856.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 541590.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 561467.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 378316.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 201655.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 555296.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 568984.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 383547.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 480821.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 375564.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 547402.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 44956.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 542641.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 376906.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 71017.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 373328.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 539456.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 507309.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 575873.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 573686.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 373317.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 375173.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 568983.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 575784.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 373154.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 573693.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 516194.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 375978.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 112838.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 575872.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 24829.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 375196.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 185640.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 234517.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 327082.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 30948.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 372812.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 315783.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 181756.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 513754.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 95055.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 493019.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 421779.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 375683.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 474498.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 420447.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 542163.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 575864.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 573694.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 575868.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 573690.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 455625.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 507040.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 535426.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 573687.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 373469.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 567823.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 375965.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 573691.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 548791.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 373342.mp3 is too short, ignored.
INFO:root:117-Fringilla_coelebs 575897.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 331489.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 277449.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 170978.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 459834.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 567961.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 368982.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 366838.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 99486.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 516982.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 408219.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 456127.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 373553.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 575849.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 458397.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 118479.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 567031.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 208309.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 294488.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 399393.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 145380.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 359033.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 503964.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 266533.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 201649.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 361878.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 281689.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 350716.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 458398.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 462075.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 458396.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 75943.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 348198.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 516966.mp3 is too short, ignored.
INFO:root:205-Sitta_europaea 456128.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 523090.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 552806.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 577706.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 553183.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 64923.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 178950.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 335669.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 31606.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 389567.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 555197.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 405969.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 543915.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 425713.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 375540.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 370655.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 577704.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 577705.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 397770.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 513187.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 232793.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 78472.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 565484.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 350516.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 75599.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 562996.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 464965.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 363910.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 165415.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 469654.mp3 is too short, ignored.
INFO:root:464-Emberiza_calandra 156863.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 109710.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 297339.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 266850.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 542095.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 461919.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 348475.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 502028.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 437776.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 195141.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 40975.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 96190.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 502930.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 169039.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 74497.mp3 is too short, ignored.
INFO:root:401-Garrulus_glandarius 287536.mp3 is too short, ignored.
